username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Culturally Delicious,26813247,New Orleans ... San Francisco,2009-03-26 18:32:06,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
Rik Scarce,490520453,"Averill Park, New York",2012-02-12 16:52:01,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
🔴LykoS🔴 | #LebenRetten | #HarterLockdownJetzt!🔴,106260922,Terra/Sol/Galaxy/.../Universe,2010-01-19 00:39:10,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
Courtney Bourgoin,3281142223,"Chicago, IL",2015-07-16 01:00:31,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
CodeforPDX,990708696610103296,"Portland, Oregon",2018-04-29 21:45:34,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
Purdue NAECC,263745957,"West Lafayette, IN",2011-03-10 17:18:42,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
PSUBW Sustainovation,49688328,"Media, PA  USA",2009-06-22 16:56:46,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
NoleRenegadePride28,1221320355966402561,,2020-01-26 06:34:12,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter for Android,
Robert,732268395727491073,,2016-05-16 17:56:05,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
Tyler Cherry,618391933,"Washington, DC",2012-06-25 19:57:37,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,TweetDeck,
grist,7215512,"Seattle, WA",2007-07-02 23:00:12,"For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off… https://t.co/PNIYAb4kyN",20,Sprout Social,
Kevin Flerlage,968852384712622082,"Burlington, KY",2018-02-28 14:16:23,"RT @tableau: ""For students aspiring to break into the data world albeit social justice, sustainable energy, or media, I would suggest playi…",7,Twitter for iPhone,
AJ - Common Sense Defender/Advocate,1281830463670083585,VICTORIA BC,2020-07-11 06:00:00,@MS_athlete @justice_ema @BeaconSave @CharlesBodi @Adam_Stirling @cfax1070 @CTVNewsVI @CHEK_News @timescolonist… https://t.co/JM4fq6ZlST,0,Twitter Web App,
Autisticways,252341341,"Redmond,WA",2011-02-15 00:28:46,"@CallMeMoprah its a bottomless pit, I spent to much time and energy in. If only someone with legal authority would… https://t.co/XIX0Qr9Zp5",0,Twitter Web App,
Tania Eulalia Martínez-Cruz,768669117607927808,"London, England/Mexico/Peru",2016-08-25 04:39:33,"RT @Comexus: #FulbrightGR alumna Shalanda Baker (Visiting Scholar, @ciesas, 2016)) will participate in this @FulbrightPrgrm panel on climat…",1,Twitter for iPhone,
COMEXUS Fulbright-García Robles,522480413,Ciudad de México,2012-03-12 18:37:32,"#FulbrightGR alumna Shalanda Baker (Visiting Scholar, @ciesas, 2016)) will participate in this @FulbrightPrgrm pane… https://t.co/pTd2cXmA1O",1,Hootsuite Inc.,
Jed Sabin (they/them),303604911,"Seattle, WA",2011-05-23 05:03:02,"it's true that positive reinforcement, compassion, and patience are powerful tools in social justice education. it'… https://t.co/U6IysKYCZa",0,Twitter Web App,
fred,1861085016,,2013-09-13 16:44:48,"RT @Pdx_resistance: “Today, 17 organizations — representing youth, enviro justice, conservation, and clean energy constituencies — signed a…",3,Twitter for iPad,
Nicole Lampe,16351993,"Portland, OR",2008-09-18 19:44:17,"“Building out clean drinking water to homes is a health and human rights issue, and with Covid-19, it’s also a soci… https://t.co/6gEY2nAouG",0,TweetDeck,
Breach Collective,1257354957121978368,,2020-05-04 17:02:55,"RT @Pdx_resistance: “Today, 17 organizations — representing youth, enviro justice, conservation, and clean energy constituencies — signed a…",3,Twitter for iPhone,
